,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
11488,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-15
11489,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-16
11490,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-17
11491,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-18
11492,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-19
11493,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-20
11494,Bangalore,Wheat,Local,FAQ,,,2524.7155177399027,2015-06-21
11495,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-22
11496,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-23
11497,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-24
11498,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-25
11499,Bangalore,Wheat,Local,FAQ,,,2523.9109620188538,2015-06-26
11500,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-06-27
11501,Bangalore,Wheat,Local,FAQ,,,2838.6390113302937,2015-06-28
11502,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-06-29
11503,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-06-30
11504,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-01
11505,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-02
11506,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-03
11507,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-04
11508,Bangalore,Wheat,Local,FAQ,,,2902.5163854787043,2015-07-05
11509,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-06
11510,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-07
11511,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-08
11512,Bangalore,Wheat,Local,FAQ,2300.0,3500.0,2900.0,2015-07-09
11513,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-07-10
11514,Bangalore,Wheat,Local,FAQ,,,2269.588752859478,2015-07-11
11515,Bangalore,Wheat,Local,FAQ,,,2142.84208488443,2015-07-12
11516,Bangalore,Wheat,Local,FAQ,,,2269.6749050827157,2015-07-13
11517,Bangalore,Wheat,Local,FAQ,2300.0,3000.0,2650.0,2015-07-14
11518,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-15
11519,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-16
11520,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-17
11521,Bangalore,Wheat,Local,FAQ,,,2393.3728759590895,2015-07-18
11522,Bangalore,Wheat,Local,FAQ,,,2291.227040546954,2015-07-19
11523,Bangalore,Wheat,Local,FAQ,,,2393.468294120884,2015-07-20
11524,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-21
11525,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-22
11526,Bangalore,Wheat,Local,FAQ,,,2495.317626701075,2015-07-23
11527,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-24
11528,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-25
11529,Bangalore,Wheat,Local,FAQ,,,2494.955518169526,2015-07-26
11530,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-27
11531,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-28
11532,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-29
11533,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-30
11534,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-07-31
11535,Bangalore,Wheat,Local,FAQ,,,2975.3021842701205,2015-08-01
11536,Bangalore,Wheat,Local,FAQ,,,2975.219651675766,2015-08-02
11537,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-03
11538,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-04
11539,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-05
11540,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-06
11541,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-07
11542,Bangalore,Wheat,Local,FAQ,,,2422.6575239358804,2015-08-08
11543,Bangalore,Wheat,Local,FAQ,,,2422.7494959573373,2015-08-09
11544,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-10
11545,Bangalore,Wheat,Local,FAQ,2400.0,3000.0,2700.0,2015-08-11
11546,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2750.0,2015-08-12
11547,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2750.0,2015-08-13
11548,Bangalore,Wheat,Local,FAQ,2500.0,3000.0,2750.0,2015-08-14
